ID,NeedID,RequirementID,TCID,ItemType,Precondition
157,1,1.a,TCS-C2CRI-NTCIP2306-WSDL-1a1-GeneralValid,RI,
158,1,1.a,TCS-C2CRI-NTCIP2306-WSDL-1a2-DefinitionsInvalid,RI,
159,1,1.a,TCS-C2CRI-NTCIP2306-WSDL-1a3-TypesInvalid,RI,
160,1,1.a,TCS-C2CRI-NTCIP2306-WSDL-1a4-MessagesInvalid,RI,
161,1,1.a,TCS-C2CRI-NTCIP2306-WSDL-1a5-SHRR-PortTypeInvalid,RI,
162,1,1.a,TCS-C2CRI-NTCIP2306-WSDL-1a6-SHRR-BindingInvalid,RI,
163,1,1.a,TCS-C2CRI-NTCIP2306-WSDL-1a7-SHRR-ServiceInvalid,RI,
168,1,1.b,TCS-C2CRI-NTCIP2306-WSDL-1b1-GeneralValid,RI,
169,1,1.b,TCS-C2CRI-NTCIP2306-WSDL-1b2-DefinitionsInvalid,RI,
170,1,1.b,TCS-C2CRI-NTCIP2306-WSDL-1b3-TypesInvalid,RI,
171,1,1.b,TCS-C2CRI-NTCIP2306-WSDL-1b4-MessagesInvalid,RI,
172,1,1.b,TCS-C2CRI-NTCIP2306-WSDL-1b5-SHSP-PortTypeInvalid,RI,
173,1,1.b,TCS-C2CRI-NTCIP2306-WSDL-1b6-SHSP-BindingInvalid,RI,
174,1,1.b,TCS-C2CRI-NTCIP2306-WSDL-1b7-SHSP-ServiceInvalid,RI,
183,1,1.c,TCS-C2CRI-NTCIP2306-WSME-1Sb-SHSP-SHConnect-EC,RI,SOAPWSDLSP
184,1,1.c,TCS-C2CRI-NTCIP2306-WSME-1Sb-SHSP-SHConnect-OC,RI,SOAPWSDLSP
185,1,1.c,TCS-C2CRI-NTCIP2306-WSME-1Sc-SHRR-RSConnect-EC,RI,SOAPWSDLRR
186,1,1.c,TCS-C2CRI-NTCIP2306-WSME-1Sc-SHRR-RSConnect-OC,RI,SOAPWSDLRR
189,1,1.d,TCS-C2CRI-NTCIP2306-WSDL-1d1-SHTr-HttpInvalid,RI,
191,1,1.d,TCS-C2CRI-NTCIP2306-WSME-1Sa-SHRR-RHConnect-EC,RI,SOAPWSDLRR
192,1,1.d,TCS-C2CRI-NTCIP2306-WSME-1Sa-SHRR-RHConnect-OC,RI,SOAPWSDLRR
193,1,1.d,TCS-C2CRI-NTCIP2306-WSME-1Sb-SHSP-SHConnect-EC,RI,SOAPWSDLSP
194,1,1.d,TCS-C2CRI-NTCIP2306-WSME-1Sb-SHSP-SHConnect-OC,RI,SOAPWSDLSP
199,1,1.d.2,TCS-C2CRI-NTCIP2306-WSDL-1d2-SHTr-HttpsInvalid,RI,
200,1,1.d.2,TCS-C2CRI-NTCIP2306-WSME-1Sc-SHRR-RSConnect-EC,RI,SOAPWSDLRR
201,1,1.d.2,TCS-C2CRI-NTCIP2306-WSME-1Sc-SHRR-RSConnect-OC,RI,SOAPWSDLRR
202,1,1.d.2,TCS-C2CRI-NTCIP2306-WSME-1Sd-SHSP-SSConnect-EC,RI,SOAPWSDLSP
203,1,1.d.2,TCS-C2CRI-NTCIP2306-WSME-1Sd-SHSP-SSConnect-OC,RI,SOAPWSDLSP
204,2,2.a,TCS-C2CRI-NTCIP2306-WSDL-2a1-GeneralValid,RI,
205,2,2.a,TCS-C2CRI-NTCIP2306-WSDL-2a2-DefinitionsInvalid,RI,
206,2,2.a,TCS-C2CRI-NTCIP2306-WSDL-2a3-TypesInvalid,RI,
