Name,ScriptFile,DataFile,Description,Type
TCS-C2CRI-NTCIP2306-WSDL-1a1-GeneralValid,TPS-NTCIP2306-WSDL.xml,TCS-C2CRI-NTCIP2306-WSDL-1a1-GeneralValid.data,To verify that the RI NTCIP 2306 Conformance Test Suite identifies WSDL documents that conform and do not conform to the general formatting requirements specified by NTCIP 2306.,EC
TCS-C2CRI-NTCIP2306-WSDL-1a2-DefinitionsInvalid,TPS-NTCIP2306-WSDL.xml,TCS-C2CRI-NTCIP2306-WSDL-1a2-DefinitionsInvalid.data,To verify that the RI NTCIP 2306 Conformance Test Suite identifies WSDL documents that do not conform to the Definitions section requirements specified by NTCIP 2306.,EC
TCS-C2CRI-NTCIP2306-WSDL-1a3-TypesInvalid,TPS-NTCIP2306-WSDL.xml,TCS-C2CRI-NTCIP2306-WSDL-1a3-TypesInvalid.data,To verify that the RI NTCIP 2306 Conformance Test Suite identifies WSDL documents that do not conform to the Types section requirements specified by NTCIP 2306.,EC
TCS-C2CRI-NTCIP2306-WSDL-1a4-MessagesInvalid,TPS-NTCIP2306-WSDL.xml,TCS-C2CRI-NTCIP2306-WSDL-1a4-MessagesInvalid.data,To verify that the RI NTCIP 2306 Conformance Test Suite identifies WSDL documents that do not conform to the Messages section requirements specified by NTCIP 2306.,EC
TCS-C2CRI-NTCIP2306-WSDL-1a5-SHRR-PortTypeInvalid,TPS-NTCIP2306-WSDL.xml,TCS-C2CRI-NTCIP2306-WSDL-1a5-SHRR-PortTypeInvalid.data,To verify that the RI NTCIP 2306 Conformance Test Suite identifies WSDL documents that do not conform to the PortType element requirements specified by NTCIP 2306 for a SOAP over HTTP Request-Response operation.,EC
TCS-C2CRI-NTCIP2306-WSDL-1a6-SHRR-BindingInvalid,TPS-NTCIP2306-WSDL.xml,TCS-C2CRI-NTCIP2306-WSDL-1a6-SHRR-BindingInvalid.data,To verify that the RI NTCIP 2306 Conformance Test Suite identifies WSDL documents that do not conform to the Binding element requirements specified by NTCIP 2306 for a SOAP over HTTP Request-Response operation.,EC
TCS-C2CRI-NTCIP2306-WSDL-1a7-SHRR-ServiceInvalid,TPS-NTCIP2306-WSDL.xml,TCS-C2CRI-NTCIP2306-WSDL-1a7-SHRR-ServiceInvalid.data,To verify that the RI NTCIP 2306 Conformance Test Suite identifies WSDL documents that do not conform to the Service element requirements specified by NTCIP 2306 for a SOAP over HTTP Request-Response operation.,EC
TCS-C2CRI-NTCIP2306-WSDL-1b1-GeneralValid,TPS-NTCIP2306-WSDL.xml,TCS-C2CRI-NTCIP2306-WSDL-1b1-GeneralValid.data,See 2306-WSDL-1a1-GeneralValid description.,EC
TCS-C2CRI-NTCIP2306-WSDL-1b2-DefinitionsInvalid,TPS-NTCIP2306-WSDL.xml,TCS-C2CRI-NTCIP2306-WSDL-1b2-DefinitionsInvalid.data,See 2306-WSDL-1a2-DefinitionsValid description.,EC
TCS-C2CRI-NTCIP2306-WSDL-1b3-TypesInvalid,TPS-NTCIP2306-WSDL.xml,TCS-C2CRI-NTCIP2306-WSDL-1b3-TypesInvalid.data,See 2306-WSDL-1a3-TypesValid description.,EC
