ID,NeedID,RequirementID,TCID,ItemType,Precondition
1,RINEED10,SRS38.6,TCS-ValidateTagTest-RIAsOC,RI,
2,RINEED11,SRS38.6,TCS-ValidateTagTest-RIAsOC,RI,
3,RINEED31,SRS38.6,TCS-ValidateTagTest-RIAsOC,RI,
4,RINEED31.1,SRS38.6,TCS-ValidateTagTest-RIAsOC,RI,
5,RINEED10,SRS38.7,TCS-PauseTagTest-RIAsOC,RI,
6,RINEED11,SRS38.7,TCS-PauseTagTest-RIAsOC,RI,
7,RINEED16,SRS38.7,TCS-PauseTagTest-RIAsOC,RI,
8,RINEED31,SRS38.7,TCS-PauseTagTest-RIAsOC,RI,
9,RINEED31.1,SRS38.7,TCS-PauseTagTest-RIAsOC,RI,
10,RINEED10,SRS38.8,TCS-TerminateTagTest-RIAsOC,RI,
11,RINEED11,SRS38.8,TCS-TerminateTagTest-RIAsOC,RI,
12,RINEED16,SRS38.8,TCS-TerminateTagTest-RIAsOC,RI,
13,RINEED31,SRS38.8,TCS-TerminateTagTest-RIAsOC,RI,
14,RINEED31.1,SRS38.8,TCS-TerminateTagTest-RIAsOC,RI,
15,RINEED10,SRS39.7,TCS-ValidateTagTest-RIAsEC,RI,
16,RINEED11,SRS39.7,TCS-ValidateTagTest-RIAsEC,RI,
17,RINEED31,SRS39.7,TCS-ValidateTagTest-RIAsEC,RI,
18,RINEED31.1,SRS39.7,TCS-ValidateTagTest-RIAsEC,RI,
19,RINEED10,SRS39.8,TCS-PauseTagTest-RIAsEC,RI,
20,RINEED11,SRS39.8,TCS-PauseTagTest-RIAsEC,RI,
21,RINEED16,SRS39.8,TCS-PauseTagTest-RIAsEC,RI,
22,RINEED31,SRS39.8,TCS-PauseTagTest-RIAsEC,RI,
23,RINEED31.1,SRS39.8,TCS-PauseTagTest-RIAsEC,RI,
24,RINEED10,SRS39.9,TCS-TerminateTagTest-RIAsEC,RI,
25,RINEED11,SRS39.9,TCS-TerminateTagTest-RIAsEC,RI,
26,RINEED16,SRS39.9,TCS-TerminateTagTest-RIAsEC,RI,
27,RINEED31,SRS39.9,TCS-TerminateTagTest-RIAsEC,RI,
28,RINEED31.1,SRS39.9,TCS-TerminateTagTest-RIAsEC,RI,
