ID,UN ID,User Need,NeedConformance,NeedSupport,Requirement ID,Requirement,Conformance,Support,Other Requirements,ReqFlag,ReqFlagValue,OtherReqParameter,OtherRequirementValues,NeedFlag,NeedFlagValue
1,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.1,Send Center Active Verification Upon Request,M,Yes,The owner center shall respond within ___ (100 ms - 1 hour; Default = 1 minute) after receiving the request.,TMDD_N1R1_Send_Center_Active_Verification_Upon_Request_Supported,True,TMDD_N1R1_Send_Center_Active_Verification_Upon_Request_Parameter,60000,TMDD_N1_Flag,True
2,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.2,Publish Center Active Verification Information,Subscription:O,Yes / No / NA,The owner center shall begin sending the updated response message within ___ (100 ms - 24 hours; Default = 15 minutes) after the information is updated in the owner center.,TMDD_N1R2_Publish_Center_Active_Verification_Information_Supported,False,TMDD_N1R2_Publish_Center_Active_Verification_Information_Parameter,900000,TMDD_N1_Flag,True
3,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.3,Subscribe to Center Active Verification Information,Subscription:O,Yes / No / NA,,TMDD_N1R3_Subscribe_to_Center_Active_Verification_Information_Supported,False,TMDD_N1R3_Subscribe_to_Center_Active_Verification_Information_Parameter,,TMDD_N1_Flag,True
4,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.4,Contents of the Center Active Verification Request,M,Yes,,TMDD_N1R4_Contents_of_the_Center_Active_Verification_Request_Supported,True,TMDD_N1R4_Contents_of_the_Center_Active_Verification_Request_Parameter,,TMDD_N1_Flag,True
5,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.4.1,Required Center Active Verification Request Content,M,Yes,,TMDD_N1R5_Required_Center_Active_Verification_Request_Content_Supported,True,TMDD_N1R5_Required_Center_Active_Verification_Request_Content_Parameter,,TMDD_N1_Flag,True
6,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.5,Contents of the Center Active Information,M,Yes,,TMDD_N1R6_Contents_of_the_Center_Active_Information_Supported,True,TMDD_N1R6_Contents_of_the_Center_Active_Information_Parameter,,TMDD_N1_Flag,True
7,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.5.1,Required Center Active Information,M,Yes,,TMDD_N1R7_Required_Center_Active_Information_Supported,True,TMDD_N1R7_Required_Center_Active_Information_Parameter,,TMDD_N1_Flag,True
8,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.5.2.1,Restrictions - Center Active,O,Yes / No,,TMDD_N1R8_Restrictions___Center_Active_Supported,False,TMDD_N1R8_Restrictions___Center_Active_Parameter,,TMDD_N1_Flag,True
9,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.4.1,Contents of the Error Report,M,Yes,,TMDD_N1R12_Contents_of_the_Error_Report_Supported,True,TMDD_N1R12_Contents_of_the_Error_Report_Parameter,,TMDD_N1_Flag,True
10,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.4.1.1,Required Error Report Contents,M,Yes,,TMDD_N1R13_Required_Error_Report_Contents_Supported,True,TMDD_N1R13_Required_Error_Report_Contents_Parameter,,TMDD_N1_Flag,True
