ID,NeedID,RequirementID,TCID,ItemType,Precondition
1,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-Valid,SUT/RI,
2,2.3.1.1,3.3.1.1.5,TCS-1-dlCenterActiveVerificationRequest-OC-Valid,SUT/RI,
3,2.3.1.1,3.3.1.1.5.1,TCS-1-dlCenterActiveVerificationRequest-OC-Valid,SUT/RI,
4,2.3.1.1,3.3.1.1.5.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-Valid,SUT/RI,
5,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-1,SUT/RI,
6,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-1,SUT/RI,
7,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-1,SUT/RI,
8,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-1,SUT/RI,
9,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-2,SUT/RI,
10,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-2,SUT/RI,
11,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-2,SUT/RI,
12,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-2,SUT/RI,
13,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-3,SUT/RI,
14,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-3,SUT/RI,
15,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-3,SUT/RI,
16,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-3,SUT/RI,
17,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-4,SUT/RI,
18,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-4,SUT/RI,
19,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-4,SUT/RI,
20,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-4,SUT/RI,
21,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-5,SUT/RI,
22,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-5,SUT/RI,
23,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-5,SUT/RI,
24,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-5,SUT/RI,
25,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-6,SUT/RI,
26,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-6,SUT/RI,
27,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-6,SUT/RI,
28,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-6,SUT/RI,
29,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-7,SUT/RI,
30,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-7,SUT/RI,
31,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-7,SUT/RI,
32,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-7,SUT/RI,
33,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-8,SUT/RI,
34,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-8,SUT/RI,
35,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-8,SUT/RI,
36,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-8,SUT/RI,
37,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-EC-Valid,SUT/RI,
38,2.3.1.1,3.3.1.1.4,TCS-1-dlCenterActiveVerificationRequest-EC-Valid,SUT/RI,
39,2.3.1.1,3.3.1.1.4.1,TCS-1-dlCenterActiveVerificationRequest-EC-Valid,SUT/RI,
40,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-1,RI,
