ID,NeedID,RequirementID,TCID,ItemType,Precondition
778777,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-Valid,SUT/RI,
778778,2.3.1.1,3.3.1.1.5,TCS-1-dlCenterActiveVerificationRequest-OC-Valid,SUT/RI,
778779,2.3.1.1,3.3.1.1.5.1,TCS-1-dlCenterActiveVerificationRequest-OC-Valid,SUT/RI,
778780,2.3.1.1,3.3.1.1.5.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-Valid,SUT/RI,
778781,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-1,SUT/RI,
778782,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-1,SUT/RI,
778783,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-1,SUT/RI,
778784,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-1,SUT/RI,
778785,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-2,SUT/RI,
778786,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-2,SUT/RI,
778787,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-2,SUT/RI,
778788,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-2,SUT/RI,
778789,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-3,SUT/RI,
778790,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-3,SUT/RI,
778791,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-3,SUT/RI,
778792,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-3,SUT/RI,
778793,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-4,SUT/RI,
778794,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-4,SUT/RI,
778795,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-4,SUT/RI,
778796,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-4,SUT/RI,
778797,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-5,SUT/RI,
778798,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-5,SUT/RI,
778799,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-5,SUT/RI,
778800,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-5,SUT/RI,
778801,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-6,SUT/RI,
778802,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-6,SUT/RI,
778803,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-6,SUT/RI,
778804,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-6,SUT/RI,
778805,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-7,SUT/RI,
778806,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-7,SUT/RI,
778807,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-7,SUT/RI,
778808,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-7,SUT/RI,
778809,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-8,SUT/RI,
778810,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-8,SUT/RI,
778811,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-8,SUT/RI,
778812,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-8,SUT/RI,
778813,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-EC-Valid,SUT/RI,
778814,2.3.1.1,3.3.1.1.4,TCS-1-dlCenterActiveVerificationRequest-EC-Valid,SUT/RI,
778815,2.3.1.1,3.3.1.1.4.1,TCS-1-dlCenterActiveVerificationRequest-EC-Valid,SUT/RI,
778816,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-1,RI,
778817,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-2,RI,
778818,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-3,RI,
778819,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-4,RI,
778820,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-5,RI,
778821,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-6,RI,
778822,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-7,RI,
778823,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-8,RI,
778824,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-OC-Valid,SUT/RI,Subscription
778825,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-OC-Valid,SUT/RI,Subscription
778826,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-1,SUT/RI,Subscription
778827,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-1,SUT/RI,Subscription
778828,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-1,SUT/RI,Subscription
778829,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-1,SUT/RI,Subscription
778830,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-1,SUT/RI,Subscription
778831,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-2,SUT/RI,Subscription
778832,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-2,SUT/RI,Subscription
778833,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-2,SUT/RI,Subscription
778834,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-2,SUT/RI,Subscription
778835,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-2,SUT/RI,Subscription
778836,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-3,SUT/RI,Subscription
778837,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-3,SUT/RI,Subscription
778838,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-3,SUT/RI,Subscription
778839,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-3,SUT/RI,Subscription
778840,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-3,SUT/RI,Subscription
778841,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-4,SUT/RI,Subscription
778842,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-4,SUT/RI,Subscription
778843,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-4,SUT/RI,Subscription
778844,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-4,SUT/RI,Subscription
778845,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-4,SUT/RI,Subscription
778846,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-5,SUT/RI,Subscription
778847,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-5,SUT/RI,Subscription
778848,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-5,SUT/RI,Subscription
778849,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-5,SUT/RI,Subscription
778850,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-5,SUT/RI,Subscription
778851,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-6,SUT/RI,Subscription
778852,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-6,SUT/RI,Subscription
778853,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-6,SUT/RI,Subscription
778854,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-6,SUT/RI,Subscription
778855,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-6,SUT/RI,Subscription
778856,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-7,SUT/RI,Subscription
778857,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-7,SUT/RI,Subscription
778858,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-7,SUT/RI,Subscription
778859,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-7,SUT/RI,Subscription
778860,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-7,SUT/RI,Subscription
778861,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-EC-Valid,SUT/RI,Subscription
778862,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-EC-Valid,SUT/RI,Subscription
778863,2.3.1.1,3.3.1.1.4,TCS-1-dlCenterActiveVerificationSubscription-EC-Valid,SUT/RI,Subscription
778864,2.3.1.1,3.3.1.1.4.1,TCS-1-dlCenterActiveVerificationSubscription-EC-Valid,SUT/RI,Subscription
778865,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-1,RI,Subscription
778866,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-1,RI,Subscription
778867,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-2,RI,Subscription
778868,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-2,RI,Subscription
778869,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-3,RI,Subscription
778870,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-3,RI,Subscription
778871,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-4,RI,Subscription
778872,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-4,RI,Subscription
778873,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-5,RI,Subscription
778874,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-5,RI,Subscription
778875,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-6,RI,Subscription
778876,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-6,RI,Subscription
778877,2.3.1.1,3.3.1.1.3,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-7,RI,Subscription
778878,2.3.1.1,3.3.1.1.2,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-7,RI,Subscription
778879,2.3.2,3.3.2.1,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778880,2.3.2,3.3.2.5,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778881,2.3.2,3.3.2.5.1,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778882,2.3.2,3.3.2.5.2.1,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778883,2.3.2,3.3.2.5.2.2,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778884,2.3.2,3.3.2.5.2.3,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778885,2.3.2,3.3.2.5.2.4,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778886,2.3.2,3.3.2.5.2.4.1,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778887,2.3.2,3.3.2.5.2.4.2.1,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778888,2.3.2,3.3.2.5.2.4.2.2,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778889,2.3.2,3.3.2.5.2.4.2.3,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778890,2.3.2,3.3.2.5.2.4.2.4,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778891,2.3.2,3.3.2.5.2.4.2.5,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778892,2.3.2,3.3.2.5.2.4.2.6,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778893,2.3.2,3.3.2.5.2.4.2.7,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778894,2.3.2,3.3.2.5.2.4.2.8,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778895,2.3.2,3.3.2.5.2.4.2.9,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778896,2.3.2,3.3.2.5.2.4.2.10,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778897,2.3.2,3.3.2.5.2.4.2.11,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778898,2.3.2,3.3.2.5.2.4.2.12,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778899,2.3.2,3.3.2.5.2.4.2.13,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778900,2.3.2,3.3.2.5.2.4.2.14,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778901,2.3.2,3.3.2.5.2.4.2.15,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778902,2.3.2,3.3.2.5.2.4.2.16,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778903,2.3.2,3.3.2.5.2.4.2.17,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778904,2.3.2,3.3.2.5.2.5,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778905,2.3.2,3.3.2.5.2.5.1,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778906,2.3.2,3.3.2.5.2.5.2.1,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778907,2.3.2,3.3.2.5.2.5.2.2,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778908,2.3.2,3.3.2.5.2.5.2.3,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
778909,2.3.2,3.3.2.5.2.5.2.4,TCS-4-dlOrganizationInformationRequest-OC-Valid,SUT/RI,
