ID,UN ID,User Need,NeedConformance,NeedSupport,Requirement ID,Requirement,RequirementType,Conformance,Support,Other Requirements,ReqFlag,ReqFlagValue,OtherReqParameter,OtherRequirementValues,NeedFlag,NeedFlagValue
1,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.1,Send Center Active Verification Upon Request,Dialogs,M,Yes,The owner center shall respond within ___ (100 ms - 1 hour; Default = 1 minute) after receiving the request. See Section 3.4.2.,TMDD_N1R1_Send_Center_Active_Verification_Upon_Request_Supported,TRUE,TMDD_N1R1_Send_Center_Active_Verification_Upon_Request_Parameter,60000,TMDD_N1_Flag,TRUE
2,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.2,Publish Center Active Verification Information,Dialogs,Subscription:O,Yes / No / NA,The owner center shall begin sending the updated response message within ___ (100 ms - 24 hours; Default = 100 ms) after the information is updated in the owner center. See Section 3.4.1.,TMDD_N1R2_Publish_Center_Active_Verification_Information_Supported,FALSE,TMDD_N1R2_Publish_Center_Active_Verification_Information_Parameter,90000,TMDD_N1_Flag,TRUE
3,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.3,Subscribe to Center Active Verification Information,Dialogs,Subscription:O,Yes / No / NA,,TMDD_N1R3_Subscribe_to_Center_Active_Verification_Information_Supported,FALSE,TMDD_N1R3_Subscribe_to_Center_Active_Verification_Information_Parameter,60000,TMDD_N1_Flag,TRUE
4,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.4,Contents of the Center Active Verification Request,Request Message,M,Yes,,TMDD_N1R4_Contents_of_the_Center_Active_Verification_Request_Supported,TRUE,TMDD_N1R4_Contents_of_the_Center_Active_Verification_Request_Parameter,,TMDD_N1_Flag,TRUE
5,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.4.1,Required Center Active Verification Request Content,Request Message,M,Yes,,TMDD_N1R5_Required_Center_Active_Verification_Request_Content_Supported,TRUE,TMDD_N1R5_Required_Center_Active_Verification_Request_Content_Parameter,,TMDD_N1_Flag,TRUE
6,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.5,Contents of the Center Active Information,Response Message,M,Yes,,TMDD_N1R6_Contents_of_the_Center_Active_Information_Supported,TRUE,TMDD_N1R6_Contents_of_the_Center_Active_Information_Parameter,,TMDD_N1_Flag,TRUE
7,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.5.1,Required Center Active Information,Response Message,M,Yes,,TMDD_N1R7_Required_Center_Active_Information_Supported,TRUE,TMDD_N1R7_Required_Center_Active_Information_Parameter,,TMDD_N1_Flag,TRUE
8,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.5.2.1,Restrictions - Center Active,Response Message,O,Yes / No,,TMDD_N1R8_Restrictions___Center_Active_Supported,FALSE,TMDD_N1R8_Restrictions___Center_Active_Parameter,,TMDD_N1_Flag,TRUE
9,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.1.5.2.2,Version Identifier,Response Message,M,Yes,,TMDD_N1R9_Version_Identifier_Supported,TRUE,TMDD_N1R9_Version_Identifier_Parameter,,TMDD_N1_Flag,TRUE
10,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.4.1,Contents of the Error Report,Error Report Message,M,Yes,,TMDD_N1R13_Contents_of_the_Error_Report_Supported,TRUE,TMDD_N1R13_Contents_of_the_Error_Report_Parameter,,TMDD_N1_Flag,TRUE
11,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.4.1.1,Required Error Report Contents,Error Report Message,M,Yes,,TMDD_N1R14_Required_Error_Report_Contents_Supported,TRUE,TMDD_N1R14_Required_Error_Report_Contents_Parameter,,TMDD_N1_Flag,TRUE
12,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.4.1.2.1,Restrictions - Error Report,Error Report Message,O,Yes / No,,TMDD_N1R15_Restrictions___Error_Report_Supported,FALSE,TMDD_N1R15_Restrictions___Error_Report_Parameter,,TMDD_N1_Flag,TRUE
13,2.3.1.2,Need to Support Requests,Mandatory,Yes,3.3.1.2,Support Request-Response,Error Report Message,M,Yes,,TMDD_N2R10_Support_Request_Response_Supported,TRUE,TMDD_N2R10_Support_Request_Response_Parameter,,TMDD_N2_Flag,TRUE
14,2.3.1.2,Need to Support Requests,Mandatory,Yes,3.4.2,Response Time,Error Report Message,M,Yes,The owner center shall respond within ___ (100 ms - 1 hour; Default = 1 minute) after receiving the request. See Section 3.4.2.,TMDD_N2R1199_Response_Time_Supported,TRUE,TMDD_N2R1199_Response_Time_Parameter,,TMDD_N2_Flag,TRUE
15,2.3.1.3,Need to Support Subscriptions,Optional,Yes / No,3.3.1.3.1,Support Periodic Updates (Subscription),Error Report Message,O.1(1..*),Yes / No,The owner center shall support periodic updates from once per ____ (default = 300 seconds) to once per ____ (default = 31_536_000 seconds).,TMDD_N3R11_Support_Periodic_Updates__Subscription__Supported,FALSE,TMDD_N3R11_Support_Periodic_Updates__Subscription__Parameter,,TMDD_N3_Flag,FALSE
16,2.3.1.3,Need to Support Subscriptions,Optional,Yes / No,3.3.1.3.2,Support Event-Driven Updates (Subscription),Error Report Message,O.1(1..*),Yes / No,,TMDD_N3R12_Support_Event_Driven_Updates__Subscription__Supported,FALSE,TMDD_N3R12_Support_Event_Driven_Updates__Subscription__Parameter,,TMDD_N3_Flag,FALSE
17,2.3.1.3,Need to Support Subscriptions,Optional,Yes / No,3.4.1,Message Transmission Time - Publication Updates,Error Report Message,Subscription:M,Yes / NA,The owner center shall begin sending the updated response message within ___ (100 ms - 24 hours; Default = 1 minute) after the information is updated in the owner center. See Section 3.4.1.,TMDD_N3R1198_Message_Transmission_Time___Publication_Updates_Supported,FALSE,TMDD_N3R1198_Message_Transmission_Time___Publication_Updates_Parameter,,TMDD_N3_Flag,FALSE
18,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.1,Send Organization Information Upon Request,Dialogs,M,Yes,The owner center shall respond within ___ (100 ms - 1 hour; Default = 1 minute) after receiving the request. See Section 3.4.2.,TMDD_N4R16_Send_Organization_Information_Upon_Request_Supported,TRUE,TMDD_N4R16_Send_Organization_Information_Upon_Request_Parameter,60000,TMDD_N4_Flag,FALSE
19,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.2,Publish Organization Information,Dialogs,Subscription:O,Yes / No / NA,The owner center shall begin sending the updated response message within ___ (100 ms - 24 hours; Default = 15 minutes) after the information is updated in the owner center. See Section 3.4.1.,TMDD_N4R17_Publish_Organization_Information_Supported,FALSE,TMDD_N4R17_Publish_Organization_Information_Parameter,90000,TMDD_N4_Flag,FALSE
20,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.3,Subscribe to Organization Information,Dialogs,Subscription:O,Yes / No / NA,,TMDD_N4R18_Subscribe_to_Organization_Information_Supported,FALSE,TMDD_N4R18_Subscribe_to_Organization_Information_Parameter,60000,TMDD_N4_Flag,FALSE
