ID,Predicate,Section,ParentNeed
1,Subscription*,3.3.1.3.1 OR 3.3.1.3.2,2.3.1.3
2,AuthOrg,3.3.2.4.2.1,NULL
3,ContactInformation,3.3.2.5.2.4,NULL
4,CenterInformation,3.3.2.5.2.5,NULL
5,AuthEvents,3.3.3.4.2.1,NULL
6,EventTime,3.3.3.6.4.1,NULL
7,EventValidPeriod,3.3.3.6.4.1.2.1,NULL
8,EffectivePeriod,3.3.3.6.4.1.2.1.1,NULL
9,EventSource,3.3.3.6.4.5,NULL
10,EventDescription,3.3.3.6.4.6,NULL
11,Detour,3.3.3.6.4.6.2,NULL
12,EventLocation,3.3.3.6.4.7,NULL
13,AreaLocation,3.3.3.6.4.7.1.1,NULL
14,LinkLocation,3.3.3.6.4.7.2,NULL
15,PointOnALink,3.3.3.6.4.7.4,NULL
16,Landmark,3.3.3.6.4.7.6,NULL
17,EventLane,3.3.3.6.4.9,NULL
18,EventTransit,3.3.3.6.4.10,NULL
19,EventHazMat ,3.3.3.6.4.13,NULL
20,HazMatCode,3.3.3.6.4.13.1,NULL
21,HazMatPlacard,3.3.3.6.4.13.2,NULL
22,ProjectReference,3.3.3.7.2,NULL
23,EventIndicator,3.3.3.7.3,NULL
24,EventReferences,3.3.3.7.4,NULL
25,EventComments,3.3.3.7.5,NULL
26,EventReports,3.3.3.7.6,NULL
27,AuthEventIndex,3.3.3.9.4.2.1,NULL
28,AuthNetwork,3.3.4.1.1.2.1,NULL
29,RouteURL,3.3.4.4.1.5.2.7,NULL
30,DeviceAuth,3.3.5.1.1.1.2.1,NULL
31,DeviceURL,3.3.5.1.2.1.2.14,NULL
32,ControlStatusAuth,3.3.5.1.5.2.2.1,NULL
33,QueueAuth,3.3.5.1.7.1.2.1,NULL
34,DetInventory*,3.3.5.2.1.5.1,2.3.5.1.1
35,DetMaintHistory*,3.3.5.2.4.3.1,2.3.5.1.7
36,VMS,3.3.5.5.6.3.2,NULL
37,CollectorConfig,3.3.5.6.4.3.3,NULL
38,SensorMetadata,3.3.5.6.4.3.6.1,NULL
39,SiteMetadata,3.3.5.6.4.3.7.1,NULL
40,StationMetadata,3.3.5.6.4.3.8.1,NULL
41,MovementIdentifier,3.3.5.11.1.5.2.4,NULL
42,PhaseIdentifier,3.3.5.11.1.5.2.13,NULL
43,IntStatus*,3.3.5.11.2.5.1,2.3.5.10.3
44,MonitorAuth,3.3.6.1.1.2.2.1,NULL
45,DataURL,3.3.6.1.1.3.2.8,NULL
