ID,NeedID,RequirementID,TCID,ItemType,Precondition
876108,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-Valid,SUT/RI,
876109,2.3.1.1,3.3.1.1.5,TCS-1-dlCenterActiveVerificationRequest-OC-Valid,SUT/RI,
876110,2.3.1.1,3.3.1.1.5.1,TCS-1-dlCenterActiveVerificationRequest-OC-Valid,SUT/RI,
876111,2.3.1.1,3.3.1.1.5.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-Valid,SUT/RI,
876112,2.3.1.1,3.3.1.1.5.2.2,TCS-1-dlCenterActiveVerificationRequest-OC-Valid,SUT/RI,
876113,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-1,RI,
876114,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-1,RI,
876115,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-1,RI,
876116,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-1,RI,
876117,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-2,SUT/RI,
876118,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-2,SUT/RI,
876119,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-2,SUT/RI,
876120,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-2,SUT/RI,
876121,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-3,SUT/RI,
876122,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-3,SUT/RI,
876123,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-3,SUT/RI,
876124,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-3,SUT/RI,
876125,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-4,SUT/RI,
876126,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-4,SUT/RI,
876127,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-4,SUT/RI,
876128,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-4,SUT/RI,
876129,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-5,SUT/RI,
876130,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-5,SUT/RI,
876131,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-5,SUT/RI,
876132,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-5,SUT/RI,
876133,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-6,SUT/RI,
876134,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-6,SUT/RI,
876135,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-6,SUT/RI,
876136,2.3.1.1,3.3.1.4.1.2.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-6,SUT/RI,
876137,2.3.1.1,3.3.1.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-7,SUT/RI,
876138,2.3.1.1,3.3.1.4.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-7,SUT/RI,
876139,2.3.1.1,3.3.1.4.1.1,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-7,SUT/RI,
