Name,ScriptFile,DataFile,Description,Type
TCS-1-dlCenterActiveVerificationRequest-OC-Valid,TPS-1-dlCenterActiveVerificationRequest-OC.xml,TCS-1-dlCenterActiveVerificationRequest-OC-Valid.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for a valid response result.,EC
TCS-1-dlCenterActiveVerificationRequest-OC-InValid-1,TPS-1-dlCenterActiveVerificationRequest-OC.xml,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-1.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 1 (unknown processing error).,EC
TCS-1-dlCenterActiveVerificationRequest-OC-InValid-2,TPS-1-dlCenterActiveVerificationRequest-OC.xml,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-2.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 2 (center does not support this type message).,EC
TCS-1-dlCenterActiveVerificationRequest-OC-InValid-3,TPS-1-dlCenterActiveVerificationRequest-OC.xml,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-3.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 3 (missing information prevents processing message).,EC
TCS-1-dlCenterActiveVerificationRequest-OC-InValid-4,TPS-1-dlCenterActiveVerificationRequest-OC.xml,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-4.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 4 (message is not well formed or cannot be parsed).,EC
TCS-1-dlCenterActiveVerificationRequest-OC-InValid-5,TPS-1-dlCenterActiveVerificationRequest-OC.xml,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-5.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 5 (out of range values).,EC
TCS-1-dlCenterActiveVerificationRequest-OC-InValid-6,TPS-1-dlCenterActiveVerificationRequest-OC.xml,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-6.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 6 (permission not granted for request).,EC
TCS-1-dlCenterActiveVerificationRequest-OC-InValid-7,TPS-1-dlCenterActiveVerificationRequest-OC.xml,TCS-1-dlCenterActiveVerificationRequest-OC-InValid-7.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 7 (authentication not recognized).,EC
TCS-1-dlCenterActiveVerificationRequest-EC-Valid,TPS-1-dlCenterActiveVerificationRequest-EC.xml,TCS-1-dlCenterActiveVerificationRequest-EC-Valid.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for a valid response result.,OC
TCS-1-dlCenterActiveVerificationRequest-EC-InValid-1,TPS-1-dlCenterActiveVerificationRequest-EC.xml,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-1.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 1 (unknown processing error).,OC
